date,pcr_count,,,,,,,
14/08/2021,17772,,,,,,,
13/08/2021,18174,,,,,,,
12/08/2021,20362,,,,,,,
11/08/2021,16902,,,,,,,
10/08/2021,15242,,,,,,,
09/08/2021,18536,,,,,,,
08/08/2021,18704,,,,,,,
07/08/2021,18033,,,,,,,
06/08/2021,20052,,,,,,,
05/08/2021,16810,,,,,,,
04/08/2021,14569,,,,,,,
03/08/2021,11293,,,,,,,
02/08/2021,13322,,,,,,,
01/08/2021,19122,,,,,,,
31/07/2021,15131,,,,,,,
30/07/2021,12578,,,,,,,
29/07/2021,14147,,,,,,,
28/07/2021,12887,,,,,,,
27/07/2021,9935,,,,,,,
26/07/2021,10145,,,,,,,
25/07/2021,11578,,,,,,,
24/07/2021,13463,,,,,,,
23/07/2021,13455,,,,,,,
22/07/2021,11302,,,,,,,
21/07/2021,12213,,,,,,,
20/07/2021,10436,,,,,,,
19/07/2021,12039,,,,,,,
18/07/2021,12477,,,,,,,
17/07/2021,13288,,,,,,,
16/07/2021,13266,,,,,,,
15/07/2021,13732,,,,,,,
14/07/2021,12848,,,,,,,
13/07/2021,9919,,,,,,,
12/07/2021,12811,,,,,,,
11/07/2021,13777,,,,,,,
10/07/2021,13917,,,,,,,
09/07/2021,13940,,,,,,,
08/07/2021,10559,,,,,,,
07/07/2021,6403,,,,,,,
06/07/2021,5631,,,,,,,
05/07/2021,15780,,,,,,,
04/07/2021,9279,,,,,,,
03/07/2021,18177,,,,,,,
02/07/2021,18069,,,,,,,
01/07/2021,16279,,,,,,,
30/06/2021,18250,,,,,,,
29/06/2021,16934,,,,,,,
28/06/2021,18008,,,,,,,
27/06/2021,18342,,,,,,,
26/06/2021,14110,,,,,,,
25/06/2021,17552,,,,,,,
24/06/2021,19663,,,,,,,
23/06/2021,20577,,,,,,,
22/06/2021,18764,,,,,,,
21/06/2021,19936,,,,,,,
20/06/2021,18768,,,,,,,
19/06/2021,16851,,,,,,,
18/06/2021,20211,,,,,,,
17/06/2021,20128,,,,,,,
16/06/2021,18257,,,,,,,
15/06/2021,15232,,,,,,,
14/06/2021,16873,,,,,,,
13/06/2021,18855,,,,,,,
12/06/2021,19676,,,,,,,
11/06/2021,18691,,,,,,,
10/06/2021,19828,,,,,,,
09/06/2021,18903,,,,,,,
08/06/2021,17871,,,,,,,
07/06/2021,17104,,,,,,,
06/06/2021,20403,,,,,,,
05/06/2021,19539,,,,,,,
04/06/2021,21754,,,,,,,
03/06/2021,21697,,,,,,,
02/06/2021,22713,,,,,,,
01/06/2021,17627,,,,,,,
31/05/2021,20785,,,,,,,
30/05/2021,22758,,,,,,,
29/05/2021,19873,,,,,,,
28/05/2021,20542,,,,,,,
27/05/2021,18156,,,,,,,
26/05/2021,20193,,,,,,,
25/05/2021,17263,,,,,,,
24/05/2021,17159,,,,,,,
23/05/2021,22824,,,,,,,
22/05/2021,22824,,,,,,,
21/05/2021,25680,,,,,,,
20/05/2021,25713,,,,,,,
19/05/2021,25397,,,,,,,
18/05/2021,25590,,,,,,,
17/05/2021,26941,,,,,,,
16/05/2021,27183,,,,,,,
15/05/2021,22247,,,,,,,
14/05/2021,24451,,,,,,,
13/05/2021,26648,,,,,,,
12/05/2021,26248,,,,,,,
11/05/2021,26428,,,,,,,
10/05/2021,23808,,,,,,,
09/05/2021,23263,,,,,,,
08/05/2021,25177,,,,,,,
07/05/2021,22889,,,,,,,
06/05/2021,27889,,,,,,,
05/05/2021,26360,,,,,,,
04/05/2021,22379,,,,,,,
03/05/2021,18584,,,,,,,
02/05/2021,23631,,,,,,,
01/05/2021,25232,,,,,,,
30/04/2021,27104,,,,,,,
29/04/2021,23730,,,,,,,
28/04/2021,14365,,,,,,,
27/04/2021,13965,,,,,,,
26/04/2021,13138,,,,,,,
25/04/2021,13919,,,,,,,
24/04/2021,16860,,,,,,,
23/04/2021,12439,,,,,,,
22/04/2021,15268,,,,,,,
21/04/2021,12464,,,,,,,
20/04/2021,8404,,,,,,,
19/04/2021,8782,,,,,,,
18/04/2021,6811,,,,,,,
17/04/2021,6578,,,,,,,
16/04/2021,4107,,,,,,,
15/04/2021,4024,,,,,,,
14/04/2021,5065,,,,,,,
13/04/2021,6185,,,,,,,
12/04/2021,7134,,,,,,,
11/04/2021,8684,,,,,,,
10/04/2021,10123,,,,,,,
09/04/2021,9294,,,,,,,
08/04/2021,12322,,,,,,,
